name,mode,use_fill16,r16,g16,b16,w16
sparse_cyanteal_r0.00g0.65b0.85_12288_w30,fill16,1,0,7987,10444,3686
sparse_cyanteal_r0.00g0.65b0.85_12288_w45,fill16,1,0,7987,10444,5529
sparse_cyanteal_r0.00g0.65b0.85_12288_w60,fill16,1,0,7987,10444,7372
sparse_cyanteal_r0.00g0.40b1.00_16384_w0,fill16,1,0,6553,16384,0
sparse_cyanteal_r0.00g0.40b1.00_16384_w8,fill16,1,0,6553,16384,1310
sparse_cyanteal_r0.00g0.40b1.00_16384_w18,fill16,1,0,6553,16384,2949
sparse_cyanteal_r0.00g0.40b1.00_16384_w30,fill16,1,0,6553,16384,4915
sparse_cyanteal_r0.00g0.40b1.00_16384_w45,fill16,1,0,6553,16384,7372
sparse_cyanteal_r0.00g0.40b1.00_16384_w60,fill16,1,0,6553,16384,9830
sparse_cyanteal_r0.00g0.55b1.00_16384_w0,fill16,1,0,9011,16384,0
sparse_cyanteal_r0.00g0.55b1.00_16384_w8,fill16,1,0,9011,16384,1310
sparse_cyanteal_r0.00g0.55b1.00_16384_w18,fill16,1,0,9011,16384,2949
sparse_cyanteal_r0.00g0.55b1.00_16384_w30,fill16,1,0,9011,16384,4915
sparse_cyanteal_r0.00g0.55b1.00_16384_w45,fill16,1,0,9011,16384,7372
sparse_cyanteal_r0.00g0.55b1.00_16384_w60,fill16,1,0,9011,16384,9830
sparse_cyanteal_r0.00g0.70b1.00_16384_w0,fill16,1,0,11468,16384,0
sparse_cyanteal_r0.00g0.70b1.00_16384_w8,fill16,1,0,11468,16384,1310
sparse_cyanteal_r0.00g0.70b1.00_16384_w18,fill16,1,0,11468,16384,2949
sparse_cyanteal_r0.00g0.70b1.00_16384_w30,fill16,1,0,11468,16384,4915
sparse_cyanteal_r0.00g0.70b1.00_16384_w45,fill16,1,0,11468,16384,7372
sparse_cyanteal_r0.00g0.70b1.00_16384_w60,fill16,1,0,11468,16384,9830
sparse_cyanteal_r0.00g0.85b1.00_16384_w0,fill16,1,0,13926,16384,0
sparse_cyanteal_r0.00g0.85b1.00_16384_w8,fill16,1,0,13926,16384,1310
sparse_cyanteal_r0.00g0.85b1.00_16384_w18,fill16,1,0,13926,16384,2949
sparse_cyanteal_r0.00g0.85b1.00_16384_w30,fill16,1,0,13926,16384,4915
sparse_cyanteal_r0.00g0.85b1.00_16384_w45,fill16,1,0,13926,16384,7372
sparse_cyanteal_r0.00g0.85b1.00_16384_w60,fill16,1,0,13926,16384,9830
sparse_cyanteal_r0.00g1.00b1.00_16384_w0,fill16,1,0,16384,16384,0
sparse_cyanteal_r0.00g1.00b1.00_16384_w8,fill16,1,0,16384,16384,1310
sparse_cyanteal_r0.00g1.00b1.00_16384_w18,fill16,1,0,16384,16384,2949
sparse_cyanteal_r0.00g1.00b1.00_16384_w30,fill16,1,0,16384,16384,4915
sparse_cyanteal_r0.00g1.00b1.00_16384_w45,fill16,1,0,16384,16384,7372
sparse_cyanteal_r0.00g1.00b1.00_16384_w60,fill16,1,0,16384,16384,9830
sparse_cyanteal_r0.00g1.00b0.80_16384_w0,fill16,1,0,16384,13107,0
sparse_cyanteal_r0.00g1.00b0.80_16384_w8,fill16,1,0,16384,13107,1310
sparse_cyanteal_r0.00g1.00b0.80_16384_w18,fill16,1,0,16384,13107,2949
sparse_cyanteal_r0.00g1.00b0.80_16384_w30,fill16,1,0,16384,13107,4915
sparse_cyanteal_r0.00g1.00b0.80_16384_w45,fill16,1,0,16384,13107,7372
sparse_cyanteal_r0.00g1.00b0.80_16384_w60,fill16,1,0,16384,13107,9830
sparse_cyanteal_r0.00g1.00b0.60_16384_w0,fill16,1,0,16384,9830,0
sparse_cyanteal_r0.00g1.00b0.60_16384_w8,fill16,1,0,16384,9830,1310
sparse_cyanteal_r0.00g1.00b0.60_16384_w18,fill16,1,0,16384,9830,2949
sparse_cyanteal_r0.00g1.00b0.60_16384_w30,fill16,1,0,16384,9830,4915
sparse_cyanteal_r0.00g1.00b0.60_16384_w45,fill16,1,0,16384,9830,7372
sparse_cyanteal_r0.00g1.00b0.60_16384_w60,fill16,1,0,16384,9830,9830
sparse_cyanteal_r0.05g0.60b1.00_16384_w0,fill16,1,819,9830,16384,0
sparse_cyanteal_r0.05g0.60b1.00_16384_w8,fill16,1,819,9830,16384,1310
sparse_cyanteal_r0.05g0.60b1.00_16384_w18,fill16,1,819,9830,16384,2949
sparse_cyanteal_r0.05g0.60b1.00_16384_w30,fill16,1,819,9830,16384,4915
sparse_cyanteal_r0.05g0.60b1.00_16384_w45,fill16,1,819,9830,16384,7372
sparse_cyanteal_r0.05g0.60b1.00_16384_w60,fill16,1,819,9830,16384,9830
sparse_cyanteal_r0.05g0.80b1.00_16384_w0,fill16,1,819,13107,16384,0
sparse_cyanteal_r0.05g0.80b1.00_16384_w8,fill16,1,819,13107,16384,1310
sparse_cyanteal_r0.05g0.80b1.00_16384_w18,fill16,1,819,13107,16384,2949
sparse_cyanteal_r0.05g0.80b1.00_16384_w30,fill16,1,819,13107,16384,4915
sparse_cyanteal_r0.05g0.80b1.00_16384_w45,fill16,1,819,13107,16384,7372
sparse_cyanteal_r0.05g0.80b1.00_16384_w60,fill16,1,819,13107,16384,9830
sparse_cyanteal_r0.08g1.00b0.70_16384_w0,fill16,1,1310,16384,11468,0
sparse_cyanteal_r0.08g1.00b0.70_16384_w8,fill16,1,1310,16384,11468,1310
sparse_cyanteal_r0.08g1.00b0.70_16384_w18,fill16,1,1310,16384,11468,2949
sparse_cyanteal_r0.08g1.00b0.70_16384_w30,fill16,1,1310,16384,11468,4915
sparse_cyanteal_r0.08g1.00b0.70_16384_w45,fill16,1,1310,16384,11468,7372
sparse_cyanteal_r0.08g1.00b0.70_16384_w60,fill16,1,1310,16384,11468,9830
sparse_cyanteal_r0.00g0.50b0.80_16384_w0,fill16,1,0,8192,13107,0
sparse_cyanteal_r0.00g0.50b0.80_16384_w8,fill16,1,0,8192,13107,1310
sparse_cyanteal_r0.00g0.50b0.80_16384_w18,fill16,1,0,8192,13107,2949
sparse_cyanteal_r0.00g0.50b0.80_16384_w30,fill16,1,0,8192,13107,4915
sparse_cyanteal_r0.00g0.50b0.80_16384_w45,fill16,1,0,8192,13107,7372
sparse_cyanteal_r0.00g0.50b0.80_16384_w60,fill16,1,0,8192,13107,9830
sparse_cyanteal_r0.00g0.65b0.85_16384_w0,fill16,1,0,10649,13926,0
sparse_cyanteal_r0.00g0.65b0.85_16384_w8,fill16,1,0,10649,13926,1310
sparse_cyanteal_r0.00g0.65b0.85_16384_w18,fill16,1,0,10649,13926,2949
sparse_cyanteal_r0.00g0.65b0.85_16384_w30,fill16,1,0,10649,13926,4915
sparse_cyanteal_r0.00g0.65b0.85_16384_w45,fill16,1,0,10649,13926,7372
sparse_cyanteal_r0.00g0.65b0.85_16384_w60,fill16,1,0,10649,13926,9830
sparse_cyanteal_r0.00g0.40b1.00_24576_w0,fill16,1,0,9830,24576,0
sparse_cyanteal_r0.00g0.40b1.00_24576_w8,fill16,1,0,9830,24576,1966
sparse_cyanteal_r0.00g0.40b1.00_24576_w18,fill16,1,0,9830,24576,4423
sparse_cyanteal_r0.00g0.40b1.00_24576_w30,fill16,1,0,9830,24576,7372
sparse_cyanteal_r0.00g0.40b1.00_24576_w45,fill16,1,0,9830,24576,11059
sparse_cyanteal_r0.00g0.40b1.00_24576_w60,fill16,1,0,9830,24576,14745
sparse_cyanteal_r0.00g0.55b1.00_24576_w0,fill16,1,0,13516,24576,0
sparse_cyanteal_r0.00g0.55b1.00_24576_w8,fill16,1,0,13516,24576,1966
sparse_cyanteal_r0.00g0.55b1.00_24576_w18,fill16,1,0,13516,24576,4423
sparse_cyanteal_r0.00g0.55b1.00_24576_w30,fill16,1,0,13516,24576,7372
sparse_cyanteal_r0.00g0.55b1.00_24576_w45,fill16,1,0,13516,24576,11059
sparse_cyanteal_r0.00g0.55b1.00_24576_w60,fill16,1,0,13516,24576,14745
sparse_cyanteal_r0.00g0.70b1.00_24576_w0,fill16,1,0,17203,24576,0
sparse_cyanteal_r0.00g0.70b1.00_24576_w8,fill16,1,0,17203,24576,1966
sparse_cyanteal_r0.00g0.70b1.00_24576_w18,fill16,1,0,17203,24576,4423
