name,mode,use_fill16,r,g,b,w,lower_r,lower_g,lower_b,lower_w,upper_r,upper_g,upper_b,upper_w,r16,g16,b16,w16,bfi_r,bfi_g,bfi_b,bfi_w,repeat_index,solver_mode,ok,returncode,elapsed_s,timed_out,X,Y,Z,x,y
W_floor151_v214_bfi3,blend8,0,0,0,0,214,0,0,0,151,0,0,0,214,0,0,0,54998,0,0,0,3,0,0,True,0,0.0,False,994.3469352341656,1079.1399122344642,943.8241571915414,0.3295473796696523,0.35764954642320795
W_floor151_v215_bfi3,blend8,0,0,0,0,215,0,0,0,151,0,0,0,215,0,0,0,55255,0,0,0,3,0,0,True,0,0.0,False,995.6037928668662,1080.5017852364326,945.0384561641392,0.32954529197356813,0.3576465646724556
W_floor151_v216_bfi3,blend8,0,0,0,0,216,0,0,0,151,0,0,0,216,0,0,0,55512,0,0,0,3,0,0,True,0,0.0,False,997.4852286292089,1082.505271884143,947.0526884806632,0.3295246107673494,0.35761143938084833
W_floor151_v217_bfi3,blend8,0,0,0,0,217,0,0,0,151,0,0,0,217,0,0,0,55769,0,0,0,3,0,0,True,0,0.0,False,1000.3294164440356,1085.588765104348,949.7377192512599,0.3295266160372563,0.35761258870558604
W_floor151_v218_bfi3,blend8,0,0,0,0,218,0,0,0,151,0,0,0,218,0,0,0,56026,0,0,0,3,0,0,True,0,0.0,False,1002.7296570549726,1088.1538329634307,952.0504075733529,0.32952725586597675,0.3576002205715409
W_floor151_v219_bfi3,blend8,0,0,0,0,219,0,0,0,151,0,0,0,219,0,0,0,56283,0,0,0,3,0,0,True,0,0.0,False,1005.047923360447,1090.6652797023412,954.3339522299196,0.32951881468993033,0.3575896450681832
W_floor151_v220_bfi3,blend8,0,0,0,0,220,0,0,0,151,0,0,0,220,0,0,0,56540,0,0,0,3,0,0,True,0,0.0,False,1007.1019918293587,1092.906466566532,956.2417850852663,0.3295220978640285,0.35759717938596547
W_floor151_v221_bfi3,blend8,0,0,0,0,221,0,0,0,151,0,0,0,221,0,0,0,56797,0,0,0,3,0,0,True,0,0.0,False,1009.114849751238,1095.0808177691993,958.4972017308992,0.329486139430596,0.357554891893841
W_floor151_v222_bfi3,blend8,0,0,0,0,222,0,0,0,151,0,0,0,222,0,0,0,57054,0,0,0,3,0,0,True,0,0.0,False,1011.1816197008247,1097.306168682289,960.2562728179269,0.32950992312635874,0.3575750035839831
W_floor151_v223_bfi3,blend8,0,0,0,0,223,0,0,0,151,0,0,0,223,0,0,0,57311,0,0,0,3,0,0,True,0,0.0,False,1013.9422470254574,1100.2506859320197,962.9052508556209,0.3295124778140794,0.3575611242175588
